name,email,roll,department,batch
aabid,example@gmail.com,10,IT,2022
aadil,,,,
aaqib,,,,
aatif,,,,
abbas,,,,
abubakr,,,,
adeel,,,,
adnan,,,,
aftab,,,,
afzal,,,,
ahsan,,,,
aijaz,,,,
akbar,,,,
baqir,,,,
barkat,,,,
dabir,,,,
danish,,,,
daniyal,,,,
dawoud,,,,
fahad,,,,
faisal,,,,
faizan,,,,
fawad,,,,
gulfam,,,,
gulshan,,,,
gulzar,,,,
hakeem,,,,
hasan,,,,
haseeb,,,,
ibrahim,,,,
imtiyaz,,,,
inayat,,,,
iqbal,,,,
ismail,,,,
jabbar,,,,
jahangir,,,,
junaid,,,,
kabeer,,,,
kashif,,,,
kifayat,,,,
lateef,,,,
makhdoom,,,,
mansoor,,,,
masoud,,,,
masroor,,,,
moazzam,,,,
mudasir,,,,
mujeeb,,,,
muntazir,,,,
naseer,,,,
nazakat,,,,
osama,,,,
parvez,,,,
qurban,,,,
rabar,,,,
zohaib,,,,
zubair,,,,
zulfiqar,,,,
zulqarnain,,,,
zain,,,,
